regime_encoded,volatility_encoded,conviction_score,impulse,follow_through,confidence,style_encoded,setup_encoded,session_encoded,setup_raw_avg_R,regime_raw_avg_R,ml_probability,predicted_won,won
2,3,4,0.8780903665813166,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.8861301369862433,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,2,0.8129738837404219,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.9308736217133315,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,2,0.8898497951751437,0.5,0.5,2,2,2,0,0,0.5,1,0
2,3,4,0.814923907707429,1.0,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.9684037751333991,1.0,0.5,2,2,2,0,0,0.5,1,1
2,3,2,1.2354430379747106,0.25,0.5,2,2,2,0,0,0.5,1,1
2,3,4,1.379877762106243,0.75,0.5,2,2,2,0,0,0.5,1,0
2,3,2,0.8579620644022629,0.5,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.9243697478991965,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.9839618552232487,0.75,0.5,2,2,2,0,0,0.5,1,1
2,3,2,1.2354430379747106,0.25,0.5,2,2,2,0,0,0.5,1,0
2,3,4,0.9982384028185437,1.0,0.5,1,3,2,0,0,0.5,1,1
2,2,4,0.6730769230768379,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.8489361702127679,0.75,0.5,2,2,2,0,0,0.5,1,0
2,3,6,1.6203983101989934,0.75,0.5,1,1,2,0,0,0.5,1,1
2,3,4,1.0076880834706012,0.75,0.5,1,1,2,0,0,0.5,1,1
2,3,4,1.0217046056114274,0.75,0.5,1,1,2,0,0,0.5,1,1
2,3,4,1.0217046056114274,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,2,0.8928571428570984,0.5,0.5,3,1,2,0,0,0.5,1,0
2,3,2,0.817267393126563,0.5,0.5,3,2,2,0,0,0.5,1,1
2,3,4,1.158567774936084,1.0,0.5,1,1,2,0,0,0.5,1,0
2,2,4,0.9366262814539413,0.75,0.5,3,1,2,0,0,0.5,1,1
1,3,4,0.7878787878787138,1.0,0.5,1,3,2,0,0,0.5,1,0
2,3,2,1.4655172413791255,0.5,0.5,2,1,2,0,0,0.5,1,1
2,3,4,1.0217046056114274,0.75,0.5,2,3,2,0,0,0.5,1,0
2,3,2,1.4225500526869588,0.25,0.5,2,2,2,0,0,0.5,1,1
1,3,4,0.7878787878787138,1.0,0.5,2,3,2,0,0,0.5,1,0
3,3,2,0.9589672660211297,0.5,0.5,1,3,2,0,0,0.5,1,0
3,3,4,1.010613751730441,0.75,0.5,1,3,2,0,0,0.5,1,0
3,3,2,0.9589672660211297,0.5,0.5,1,1,2,0,0,0.5,1,1
2,3,4,0.6421095008051381,0.75,0.5,2,1,2,0,0,0.5,1,0
3,3,2,0.9589672660211297,0.5,0.5,2,3,2,0,0,0.5,1,1
3,3,4,1.010613751730441,0.75,0.5,2,3,2,0,0,0.5,1,1
2,3,4,1.0406320541760774,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,2,1.5146750524108585,0.25,0.5,2,2,2,0,0,0.5,1,1
2,3,4,0.8903133903134023,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,2,0.8921755725191679,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.9806990088679808,1.0,0.5,1,1,2,0,0,0.5,1,0
2,3,4,1.264181523500721,0.75,0.5,2,3,2,0,0,0.5,1,1
2,3,2,1.5146750524108585,0.25,0.5,3,2,2,0,0,0.5,1,1
2,3,2,1.0963066853670482,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.8693388859968537,0.75,0.5,2,1,3,0,0,0.5,1,0
2,3,4,0.6856368563686162,0.75,0.5,2,1,3,0,0,0.5,1,0
2,3,4,2.4726875455207833,0.25,0.5,2,2,4,0,0,0.5,1,1
2,3,4,2.690100430416096,0.25,0.5,2,2,4,0,0,0.5,1,1
2,3,2,1.1047619047618624,0.5,0.5,2,1,4,0,0,0.5,1,1
2,3,2,1.1063040791100558,0.25,0.5,3,3,3,0,0,0.5,1,1
3,3,0,1.540469973890374,0.5,0.5,1,1,1,0,0,0.5,1,0
3,3,2,2.083916083916092,0.5,0.5,1,1,1,0,0,0.5,1,0
2,3,2,1.2533765532145218,0.5,0.5,1,3,1,0,0,0.5,1,1
2,3,4,1.094249201277883,0.75,0.5,3,1,2,0,0,0.5,1,1
2,3,2,1.2533765532145218,0.5,0.5,2,1,1,0,0,0.5,1,0
3,3,2,1.3258263712313771,0.5,0.5,1,3,1,0,0,0.5,1,0
3,3,2,1.459213519662023,0.5,0.5,1,3,1,0,0,0.5,1,0
1,3,2,1.4522691705790338,0.5,0.5,1,3,1,0,0,0.5,1,1
3,3,2,1.2996136283807767,0.5,0.5,2,2,1,0,0,0.5,1,0
1,3,4,0.5060991435245296,1.0,0.5,1,3,1,0,0,0.5,1,1
2,3,2,1.222760290556903,0.5,0.5,1,1,1,0,0,0.5,1,0
2,3,2,1.2533765532145218,0.5,0.5,2,1,1,0,0,0.5,1,0
2,3,2,0.7369905152525201,0.25,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.9935174746335896,0.75,0.5,1,1,1,0,0,0.5,1,0
3,3,2,1.2996136283807767,0.5,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.8467741935484204,0.75,0.5,2,3,1,0,0,0.5,1,0
2,3,2,1.2533765532145218,0.5,0.5,3,1,1,0,0,0.5,1,0
2,3,4,0.5033853400058509,1.0,0.5,1,1,1,0,0,0.5,1,1
